title,law_url,sysid,law_group,law_type
พระราชบัญญัติจดหมายเหตุแห่งชาติ พ.ศ. 2556,https://www.krisdika.go.th/librarian/get?sysid=683311&ext=htm,683311,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติจัดรูปที่ดินเพื่อพัฒนาพื้นที่ พ.ศ. 2547,https://www.krisdika.go.th/librarian/get?sysid=449067&ext=htm,449067,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชกำหนดจัดสรรทุนสำรองเงินตราเกินจำนวนธนบัตรออกใช้ พ.ศ. 2498,https://www.krisdika.go.th/librarian/get?sysid=303133&ext=htm,303133,การเงิน การคลัง และวิธีการงบประมาณ,พระราชกำหนด
พระราชบัญญัติจัดหางานและคุ้มครองคนหางาน พ.ศ. 2528 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=316918&ext=htm,316918,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติจัดรูปที่ดินเพื่อเกษตรกรรม พ.ศ. 2558,https://www.krisdika.go.th/librarian/get?sysid=723868&ext=htm,723868,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติเงินทดแทน พ.ศ. 2537 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=393337&ext=htm,393337,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติเงินตรา พ.ศ. 2501 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=593747&ext=htm,593747,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติเงินคงคลัง พ.ศ. 2491 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=302737&ext=htm,302737,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองเด็ก พ.ศ. 2546,https://www.krisdika.go.th/librarian/get?sysid=425395&ext=htm,425395,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองและส่งเสริมภูมิปัญญาการแพทย์แผนไทย พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=393567&ext=htm,393567,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองพันธุ์พืช พ.ศ. 2542,https://www.krisdika.go.th/librarian/get?sysid=310690&ext=htm,310690,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองแรงงาน พ.ศ. 2541 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=642571&ext=htm,642571,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติคุ้มครองผู้ประสบภัยจากรถ พ.ศ. 2535 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=572640&ext=htm,572640,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
